TDBC_NaOH_c2_1mmK_abs-2,,
Wavelength (nm),Abs,
936.5,-0.01412647869,
936,-0.01412567776,
935.5,-0.01427123696,
935,-0.01433165185,
934.5,-0.01406348031,
934,-0.01398808975,
933.5,-0.01389032323,
933,-0.01387723535,
932.5,-0.01385652553,
932,-0.01383365877,
931.5,-0.01402774174,
931,-0.01403686404,
930.5,-0.01398904156,
930,-0.01379664708,
929.5,-0.01384072937,
929,-0.01384795085,
928.5,-0.01358474884,
928,-0.01329236571,
927.5,-0.01352764294,
927,-0.01350872312,
926.5,-0.0136102885,
926,-0.01348332781,
925.5,-0.01354861911,
925,-0.01354691293,
924.5,-0.01371012442,
924,-0.01379739959,
923.5,-0.01340738498,
923,-0.01350807026,
922.5,-0.01325656381,
922,-0.01321362704,
921.5,-0.01325962692,
921,-0.01327077486,
920.5,-0.01308454201,
920,-0.01282695867,
919.5,-0.01297119539,
919,-0.01292014029,
918.5,-0.01290943567,
918,-0.01262942143,
917.5,-0.01282479707,
917,-0.01258355659,
916.5,-0.01243129186,
916,-0.01235632226,
915.5,-0.01237000898,
915,-0.0123186307,
914.5,-0.01234364137,
914,-0.01205651462,
913.5,-0.01225617435,
913,-0.01215987932,
912.5,-0.01203773171,
912,-0.01187026408,
911.5,-0.01219250076,
911,-0.01215429138,
910.5,-0.01197357289,
910,-0.01185928192,
909.5,-0.01174430549,
909,-0.01161820907,
908.5,-0.01162592135,
908,-0.01148234587,
907.5,-0.01140690967,
907,-0.01145239454,
906.5,-0.01149202697,
906,-0.01145022642,
905.5,-0.01145219337,
905,-0.01132576074,
904.5,-0.01122174226,
904,-0.01105471607,
903.5,-0.01112758927,
903,-0.0110540092,
902.5,-0.0110678887,
902,-0.01072890591,
901.5,-0.01099106763,
901,-0.01092104893,
900.5,-0.0109415967,
900,-0.01084793825,
899.5,-0.01092221029,
899,-0.01074900851,
898.5,-0.01072137989,
898,-0.01049700938,
897.5,-0.01054673363,
897,-0.01062838268,
896.5,-0.0104976166,
896,-0.01028814632,
895.5,-0.01039375365,
895,-0.01031463873,
894.5,-0.0102380896,
894,-0.01027692202,
893.5,-0.01009961776,
893,-0.0102094179,
892.5,-0.01000188291,
892,-0.009801892564,
891.5,-0.01003436279,
891,-0.01013517566,
890.5,-0.009919711389,
890,-0.009884592146,
889.5,-0.009872193448,
889,-0.009693812579,
888.5,-0.009883781895,
888,-0.009750412777,
887.5,-0.009847545996,
887,-0.009825934656,
886.5,-0.009573348798,
886,-0.009549900889,
885.5,-0.009424078278,
885,-0.009199745953,
884.5,-0.009257677011,
884,-0.009250125848,
883.5,-0.009163604118,
883,-0.009302830324,
882.5,-0.009092428721,
882,-0.009070627391,
881.5,-0.009090198204,
881,-0.009132935666,
880.5,-0.009073669091,
880,-0.008998675272,
879.5,-0.008947201073,
879,-0.008987214416,
878.5,-0.008818920702,
878,-0.008593666367,
877.5,-0.008660813794,
877,-0.008498840965,
876.5,-0.008574936539,
876,-0.00837149471,
875.5,-0.008416943252,
875,-0.00826376956,
874.5,-0.008283478208,
874,-0.007830973715,
873.5,-0.008026537485,
873,-0.008083558641,
872.5,-0.008019117638,
872,-0.007966358215,
871.5,-0.007827109657,
871,-0.007629014552,
870.5,-0.007625300903,
870,-0.007585060317,
869.5,-0.00762240123,
869,-0.007808601018,
868.5,-0.007522529922,
868,-0.007536522578,
867.5,-0.007481363602,
867,-0.007498919498,
866.5,-0.007437699474,
866,-0.007555907592,
865.5,-0.007265749853,
865,-0.007343843114,
864.5,-0.007203682326,
864,-0.006930154283,
863.5,-0.007067958359,
863,-0.007233062293,
862.5,-0.006999545731,
862,-0.007089758758,
861.5,-0.006967296824,
861,-0.006944573484,
860.5,-0.006780991331,
860,-0.006906562485,
859.5,-0.006648347247,
859,-0.006759634241,
858.5,-0.006663285661,
858,-0.006650692783,
857.5,-0.006737103686,
857,-0.006832773332,
856.5,-0.006647837348,
856,-0.006747706328,
855.5,-0.006594197359,
855,-0.00667842757,
854.5,-0.006610055454,
854,-0.006575024221,
853.5,-0.006432778202,
853,-0.006574208383,
852.5,-0.006307682022,
852,-0.006211386528,
851.5,-0.006341459695,
851,-0.006425177678,
850.5,-0.006409108639,
850,-0.006175965536,
849.5,-0.006278851535,
849,-0.006255122833,
848.5,-0.006248080172,
848,-0.00617274968,
847.5,-0.006193063688,
847,-0.006149678491,
846.5,-0.005898929201,
846,-0.006054215599,
845.5,-0.005895302631,
845,-0.005780013744,
844.5,-0.005889684893,
844,-0.006043494213,
843.5,-0.006038949825,
843,-0.005904291756,
842.5,-0.00595229771,
842,-0.005893975031,
841.5,-0.005974664353,
841,-0.005983804818,
840.5,-0.005865781102,
840,-0.005897703115,
839.5,-0.005752221216,
839,-0.005717580207,
838.5,-0.005704040173,
838,-0.005714769941,
837.5,-0.005723864771,
837,-0.005661014933,
836.5,-0.005644815043,
836,-0.005704602227,
835.5,-0.005653247237,
835,-0.00552184321,
834.5,-0.005899337586,
834,-0.006034252699,
833.5,-0.006085000932,
833,-0.005843715277,
832.5,-0.005606384017,
832,-0.005358132999,
831.5,-0.005048182327,
831,-0.00462779263,
830.5,-0.004309733864,
830,-0.004001444671,
829.5,-0.003681232687,
829,-0.003503937041,
828.5,-0.00307495473,
828,-0.002628155285,
827.5,-0.002392766764,
827,-0.002173632151,
826.5,-0.001656025648,
826,-0.001274203649,
825.5,-0.001201154781,
825,-0.001122620073,
824.5,-0.001118024229,
824,-0.001091222861,
823.5,-0.001140641514,
823,-0.001194856013,
822.5,-0.001125460141,
822,-0.001117507927,
821.5,-0.00119449466,
821,-0.001117611188,
820.5,-0.001194907702,
820,-0.00119872822,
819.5,-0.001205904642,
819,-0.001204562257,
818.5,-0.001175391255,
818,-0.001114616054,
817.5,-0.001250302768,
817,-0.0013284015,
816.5,-0.001265789499,
816,-0.001209002337,
815.5,-0.001297741779,
815,-0.001279881806,
814.5,-0.001316943089,
814,-0.001274203649,
813.5,-0.001327420818,
813,-0.001369742211,
812.5,-0.001289328095,
812,-0.00131942064,
811.5,-0.001385740703,
811,-0.001383470022,
810.5,-0.00131131697,
810,-0.001373354811,
809.5,-0.001323807868,
809,-0.001295573893,
808.5,-0.001367729506,
808,-0.001326182159,
807.5,-0.001459171297,
807,-0.001415671781,
806.5,-0.001412936719,
806,-0.00141448481,
805.5,-0.001463557128,
805,-0.001534653013,
804.5,-0.001507206587,
804,-0.001456023776,
803.5,-0.001447871095,
803,-0.001480016508,
802.5,-0.001432906953,
802,-0.001416600542,
801.5,-0.001564883278,
801,-0.001489509945,
800.5,-0.001465724199,
800,-0.001350543345,
799.5,0.05036839843,
799,-0.007573002484,
798.5,-0.007534944918,
798,-0.00748054916,
797.5,-0.007429861929,
797,-0.007355296519,
796.5,-0.00720113609,
796,-0.007303627208,
795.5,-0.007379830815,
795,-0.007485027425,
794.5,-0.007407570258,
794,-0.007347508334,
793.5,-0.007267327979,
793,-0.007460549939,
792.5,-0.007231789175,
792,-0.007297568955,
791.5,-0.007238612045,
791,-0.007014675997,
790.5,-0.007018190809,
790,-0.00717771193,
789.5,-0.007197215222,
789,-0.007330353372,
788.5,-0.007349442691,
788,-0.007245078683,
787.5,-0.007335850969,
787,-0.007249100599,
786.5,-0.007252970245,
786,-0.007247217,
785.5,-0.00740360003,
785,-0.007413575891,
784.5,-0.00729059428,
784,-0.007174656726,
783.5,-0.007197266445,
783,-0.007238816004,
782.5,-0.007372959051,
782,-0.007257298101,
781.5,-0.007273844909,
781,-0.007167680189,
780.5,-0.007310805377,
780,-0.007326535415,
779.5,-0.007309532724,
779,-0.007361760829,
778.5,-0.007384971716,
778,-0.007340738084,
777.5,-0.007293801755,
777,-0.007402989548,
776.5,-0.007244111039,
776,-0.007273590192,
775.5,-0.007269517053,
775,-0.007263611071,
774.5,-0.007237033918,
774,-0.007129230537,
773.5,-0.007332084235,
773,-0.007377794478,
772.5,-0.007437648717,
772,-0.007191155571,
771.5,-0.007283568848,
771,-0.007253021002,
770.5,-0.007200525142,
770,-0.007134170737,
769.5,-0.007302812766,
769,-0.007224202622,
768.5,-0.007205260918,
768,-0.007017528638,
767.5,-0.007198845036,
767,-0.007351580542,
766.5,-0.007233367767,
766,-0.007179697976,
765.5,-0.00721004745,
765,-0.007221504115,
764.5,-0.007218245417,
764,-0.007188405842,
763.5,-0.007210403681,
763,-0.007246554829,
762.5,-0.007411031052,
762,-0.007298536599,
761.5,-0.007212389726,
761,-0.007405076176,
760.5,-0.00733132055,
760,-0.007167730946,
759.5,-0.007259334438,
759,-0.007264425978,
758.5,-0.007214528043,
758,-0.00710763596,
757.5,-0.007278172299,
757,-0.007273386698,
756.5,-0.007115785033,
756,-0.006899479777,
755.5,-0.007176897489,
755,-0.007082526106,
754.5,-0.007029601838,
754,-0.006934128702,
753.5,-0.007096940186,
753,-0.007288252469,
752.5,-0.007234742399,
752,-0.007066328544,
751.5,-0.007098722737,
751,-0.007327044383,
750.5,-0.007167170756,
750,-0.006873746403,
749.5,-0.007094852161,
749,-0.00704900967,
748.5,-0.007074325345,
748,-0.007083850447,
747.5,-0.007051149383,
747,-0.006949210074,
746.5,-0.007007289212,
746,-0.00714486558,
745.5,-0.00699791545,
745,-0.00716528669,
744.5,-0.007063679863,
744,-0.006943809334,
743.5,-0.007033932023,
743,-0.006967449561,
742.5,-0.006946458947,
742,-0.006853769999,
741.5,-0.006969946437,
741,-0.007169615477,
740.5,-0.007020941935,
740,-0.007052219007,
739.5,-0.007138703018,
739,-0.00724701304,
738.5,-0.007095412351,
738,-0.007122965995,
737.5,-0.007115377579,
737,-0.007059554104,
736.5,-0.007101422176,
736,-0.007029958535,
735.5,-0.007037293632,
735,-0.006974735297,
734.5,-0.007017681375,
734,-0.007075751666,
733.5,-0.00708227139,
733,-0.00705053797,
732.5,-0.007031130139,
732,-0.007000717334,
731.5,-0.007071116474,
731,-0.007105802651,
730.5,-0.007036122028,
730,-0.006904830225,
729.5,-0.006951655727,
729,-0.007200270426,
728.5,-0.007141758688,
728,-0.007119095419,
727.5,-0.007067143451,
727,-0.007016509771,
726.5,-0.006942637265,
726,-0.006950483657,
725.5,-0.006802143063,
725,-0.006824873853,
724.5,-0.006974786054,
724,-0.006920371205,
723.5,-0.007111150306,
723,-0.00705283042,
722.5,-0.007032149006,
722,-0.007040044758,
721.5,-0.007054969668,
721,-0.00707834959,
720.5,-0.006906409748,
720,-0.00684617646,
719.5,-0.006886434741,
719,-0.006922613364,
718.5,-0.006921747234,
718,-0.006908651907,
717.5,-0.007007595152,
717,-0.007122457027,
716.5,-0.00706459675,
716,-0.006974225864,
